s_m,left_x_m,left_y_m,right_x_m,right_y_m
1159.946482,674.584744,-58.426383,681.353868,-70.681136
1166.430959,680.277686,-55.281819,687.013163,-67.555096
1172.508949,685.619578,-52.350250,692.327966,-64.638355
1178.160230,690.589431,-49.637091,697.278619,-61.935659
1183.364549,695.165911,-47.147947,701.845805,-59.451565
1188.101631,699.200131,-44.959452,706.137763,-57.119602
1192.539495,702.794735,-42.916212,710.252459,-54.764518
1196.871354,706.201516,-40.780023,714.177849,-52.285591
1201.113801,709.432640,-38.548688,717.919833,-49.682759
1205.283416,712.500269,-36.219399,721.484317,-46.956572
1209.396628,715.416387,-33.788775,724.877381,-44.108154
1213.469570,718.192629,-31.252958,728.105457,-41.139103
1217.517927,720.840149,-28.607759,731.175457,-38.051350
1221.556805,723.369524,-25.848827,734.094870,-34.846990
1225.600614,725.790723,-22.971823,736.871793,-31.528100
1229.662971,728.113127,-19.972588,739.514911,-28.096584
1233.756635,730.345590,-16.847268,742.033435,-24.554036
1237.893471,732.496536,-13.592406,744.437009,-20.901655
1242.084439,734.574065,-10.204989,746.735598,-17.140196
1246.339607,736.586058,-6.682454,748.939387,-13.269963
1250.668191,738.540281,-3.022671,751.058676,-9.290829
1255.078603,740.444461,0.776103,753.103804,-5.202278
1259.578515,742.306350,4.715274,755.085085,-1.003459
1264.174933,744.133769,8.795973,757.012764,3.306758
1268.874265,745.934639,13.019103,758.896987,7.729724
1273.682404,747.730347,17.419144,760.734431,12.233222
1278.427956,749.491507,21.835368,762.488995,16.632935
1282.948788,751.189587,26.077315,764.150818,20.785197
1287.264565,752.856722,30.158756,765.746482,24.694866
1291.395479,754.525864,34.092682,767.301749,28.367583
1295.362769,756.230818,37.890683,768.841528,31.810387
1299.189294,758.006063,41.562175,770.390055,35.032495
1302.900146,759.886240,45.113571,771.971403,38.046122
1306.523229,761.905238,48.547608,773.610399,40.867164
1310.089720,764.094923,51.863163,775.333890,43.515373
1313.634312,766.483815,55.055902,777.172071,46.013714
1317.195153,769.096218,58.119873,779.159353,48.386769
1320.813431,771.952296,61.049751,781.334286,50.658493
1324.532650,775.069266,63.843042,783.738368,52.850013
1328.397704,778.463363,66.501495,786.414079,54.978210
1332.453921,782.151851,69.031374,789.402868,57.055450
1336.746219,786.154483,71.442730,792.743698,59.090311
1341.318484,790.494105,73.748177,796.472438,61.088812
1346.213186,795.196542,75.961646,800.621975,63.055652
1351.471218,800.290056,78.097413,805.222765,64.995184
1357.131890,805.681232,80.126317,810.426935,66.955201
1362.926382,811.025964,82.051103,815.985048,68.958835
1368.463576,816.054019,83.953642,821.313342,70.979070
1373.759811,820.765329,85.859873,826.418657,73.052068
1378.833728,825.161099,87.794405,831.306565,75.215325
1383.707100,829.244729,89.780664,835.980439,77.507514
1388.405710,833.022945,91.841494,840.440330,79.967894
1392.960215,836.506888,94.000373,844.681870,82.635090
1397.406866,839.712710,96.283288,848.695683,85.545215
1401.787906,842.661058,98.720952,852.467896,88.729660
1406.151489,845.375051,101.350565,855.982165,92.213326
1410.550975,847.877004,104.216122,859.222948,96.014320
1415.043636,850.184969,107.366720,862.178971,100.145647
1419.688941,852.310464,110.853301,864.845488,104.618466
1424.546758,854.258200,114.725134,867.224566,109.445612
1429.675767,856.027503,119.027303,869.323650,114.644101
1435.132315,857.614530,123.799781,871.153360,120.236064
1440.969767,859.014324,129.077800,872.725426,126.248368
